StartDateTime,ISEM DA Price
2022-09-13,243.62741
2022-09-14,259.026097
2022-09-15,285.44226
2022-09-16,291.25006
2022-09-17,235.84548
2022-09-18,221.883389
2022-09-19,207.00134
2022-09-20,225.92817
2022-09-21,219.77375
2022-09-22,173.642128
2022-09-23,215.169092
2022-09-24,243.57506
2022-09-25,251.93824
2022-09-26,34.60096
2022-09-27,159.5478
2022-09-28,164.909
2022-09-29,180.498696
2022-09-30,188.9927
2022-10-01,124.1082
2022-10-02,209.842
2022-10-03,244.97078
2022-10-04,37.50642
2022-10-05,90.951936
2022-10-06,16.20432
2022-10-07,11.887173
2022-10-08,201.503
2022-10-09,166.516
2022-10-10,121.8196
2022-10-11,160.671004
2022-10-12,109.9625
2022-10-13,165.3454
2022-10-14,153.895518
2022-10-15,132.3144
2022-10-16,108.1375
2022-10-17,0.0
2022-10-18,95.26
2022-10-19,41.305031
2022-10-20,35.484575
2022-10-21,70.50992
2022-10-22,90.6039
2022-10-23,105.3668
2022-10-24,93.924488
2022-10-25,61.95378
2022-10-26,40.475826
2022-10-27,50.138595
2022-10-28,72.017576
2022-10-29,71.25902
2022-10-30,0.8624
2022-10-31,21.38752
2022-11-01,79.277748
2022-11-02,56.86905
2022-11-03,60.248408
2022-11-04,143.981216
2022-11-05,113.783082
2022-11-06,98.22605
2022-11-07,64.9838
2022-11-08,48.926045
2022-11-09,91.476
2022-11-10,30.5795
2022-11-11,0.0
2022-11-12,103.122811
2022-11-13,61.178259
2022-11-14,109.2625
2022-11-15,89.000862
2022-11-16,115.40411
2022-11-17,118.341
2022-11-18,85.17033
2022-11-19,127.200256
2022-11-20,86.85177
2022-11-21,70.172034
2022-11-22,89.02285
2022-11-23,123.1708
2022-11-24,92.50023
2022-11-25,110.91354
2022-11-26,124.8595
2022-11-27,107.815968
2022-11-28,118.530438
2022-11-29,199.620859
2022-11-30,204.352125
2022-12-01,242.137805
2022-12-02,273.536032
2022-12-03,266.936648
2022-12-04,257.22
2022-12-05,224.6388
2022-12-06,244.29899
2022-12-07,253.995
2022-12-08,302.297072
2022-12-09,313.049846
2022-12-10,284.691
2022-12-11,297.634617
2022-12-12,296.3205
2022-12-13,287.369
2022-12-14,250.009357
2022-12-15,266.992242
2022-12-16,270.474512
2022-12-17,247.648266
2022-12-18,245.759271
2022-12-19,39.948183
2022-12-20,79.401168
2022-12-21,109.325
2022-12-22,179.229396
2022-12-23,188.8345
2022-12-24,88.37208
2022-12-25,88.071607
2022-12-26,385.166964
2022-12-27,169.77129
2022-12-28,154.4725
2022-12-29,-4.913372
2022-12-30,0.0
2022-12-31,165.025452
2023-01-01,141.807996
2023-01-02,176.84
2023-01-03,113.467068
2023-01-04,0.8849
2023-01-05,154.459295
2023-01-06,77.7304
2023-01-07,151.2465
2023-01-08,4.496289
2023-01-09,71.2719
2023-01-10,109.502888
2023-01-11,18.5262
2023-01-12,48.631
2023-01-13,8.568867
2023-01-14,118.8178
2023-01-15,12.4208
2023-01-16,176.90768
2023-01-17,150.824
2023-01-18,129.188714
2023-01-19,146.08
2023-01-20,158.209282
2023-01-21,137.475336
2023-01-22,134.8886
2023-01-23,153.142356
2023-01-24,148.4158
2023-01-25,141.115128
2023-01-26,140.4288
2023-01-27,150.528192
2023-01-28,142.497976
2023-01-29,166.497
2023-01-30,104.288463
2023-01-31,109.001178
2023-02-01,101.016
2023-02-02,112.903406
2023-02-03,107.086905
2023-02-04,130.203153
2023-02-05,167.365
2023-02-06,147.675
2023-02-07,134.099685
2023-02-08,141.7962
2023-02-09,138.795228
2023-02-10,133.485412
2023-02-11,133.6803
2023-02-12,132.825
2023-02-13,122.199
2023-02-14,110.51078
2023-02-15,115.673
2023-02-16,135.6651
2023-02-17,62.16
2023-02-18,88.3377
2023-02-19,142.176
2023-02-20,74.6424
2023-02-21,123.12833
2023-02-22,118.126216
2023-02-23,117.508668
2023-02-24,125.5256
2023-02-25,131.989568
2023-02-26,142.422124
2023-02-27,129.453792
2023-02-28,156.599973
2023-03-01,131.677308
2023-03-02,134.558608
2023-03-03,146.2065
2023-03-04,147.581574
2023-03-05,142.044084
2023-03-06,132.405
2023-03-07,119.606766
2023-03-08,123.792187
2023-03-09,117.5064
2023-03-10,93.569749
2023-03-11,135.741659
2023-03-12,110.5375
2023-03-13,40.6778
2023-03-14,112.2045
2023-03-15,164.996895
2023-03-16,112.0394
2023-03-17,104.10912
2023-03-18,157.968
2023-03-19,118.233
2023-03-20,107.215436
2023-03-21,103.575216
2023-03-22,46.105632
2023-03-23,64.660446
2023-03-24,83.9705
2023-03-25,70.440804
2023-03-26,110.50038
2023-03-27,109.058
2023-03-28,91.005388
2023-03-29,98.41284
2023-03-30,109.0704
2023-03-31,118.7055
2023-04-01,104.6056
2023-04-02,107.2502
2023-04-03,106.186489
2023-04-04,108.1908
2023-04-05,104.67324
2023-04-06,118.768874
2023-04-07,122.444
2023-04-08,110.077156
2023-04-09,81.827576
2023-04-10,80.4632
2023-04-11,73.9037
2023-04-12,46.614139
2023-04-13,75.9616
2023-04-14,110.93676
2023-04-15,111.24524
2023-04-16,98.571582
2023-04-17,102.378802
2023-04-18,99.627605
2023-04-19,91.7904
2023-04-20,91.703178
2023-04-21,96.169108
2023-04-22,97.35075
2023-04-23,122.8065
2023-04-24,112.41654
2023-04-25,107.8114
2023-04-26,97.374396
2023-04-27,84.96
2023-04-28,93.623265
2023-04-29,98.7056
2023-04-30,94.6836
2023-05-01,89.002584
2023-05-02,99.803528
2023-05-03,91.780215
2023-05-04,72.2912
2023-05-05,78.2755
2023-05-06,90.951306
2023-05-07,100.2915
2023-05-08,73.2564
2023-05-09,87.52236
2023-05-10,81.494892
2023-05-11,83.108306
2023-05-12,81.5991
2023-05-13,94.00248
2023-05-14,87.15
2023-05-15,83.82087
2023-05-16,84.5161
2023-05-17,76.7166
2023-05-18,79.594927
2023-05-19,76.7096
2023-05-20,89.5276
2023-05-21,84.39
2023-05-22,69.513
2023-05-23,70.186662
2023-05-24,70.195188
2023-05-25,75.1166
2023-05-26,69.772392
2023-05-27,100.8156
2023-05-28,89.821485
2023-05-29,64.409001
2023-05-30,71.2662
2023-05-31,76.138035
2023-06-01,78.724327
2023-06-02,69.6114
2023-06-03,77.181936
2023-06-04,78.141186
2023-06-05,68.139666
2023-06-06,69.3479
2023-06-07,75.811436
2023-06-08,72.488154
2023-06-09,69.4536
2023-06-10,71.633954
2023-06-11,82.998752
2023-06-12,114.653136
2023-06-13,86.18913
2023-06-14,89.372612
2023-06-15,90.602302
2023-06-16,121.08155
2023-06-17,106.75567
2023-06-18,100.171002
2023-06-19,101.646865
2023-06-20,88.50728
2023-06-21,91.9125
2023-06-22,101.425311
2023-06-23,94.889756
2023-06-24,97.4586
2023-06-25,68.37264
2023-06-26,100.2456
2023-06-27,102.30759
2023-06-28,86.116184
2023-06-29,93.8708
2023-06-30,97.71749
2023-07-01,78.169
2023-07-02,103.128
2023-07-03,108.37034
2023-07-04,85.927265
2023-07-05,95.201568
2023-07-06,90.594522
2023-07-07,74.339316
2023-07-08,54.201413
2023-07-09,94.214688
2023-07-10,88.0032
2023-07-11,95.7712
2023-07-12,80.99712
2023-07-13,85.41048
2023-07-14,88.9096
2023-07-15,78.22012
2023-07-16,1.258958
2023-07-17,73.398976
2023-07-18,65.86685
2023-07-19,72.043502
2023-07-20,76.183742
2023-07-21,77.2253
2023-07-22,77.924672
2023-07-23,67.999932
2023-07-24,73.593
2023-07-25,95.318642
2023-07-26,84.60436
2023-07-27,77.606564
2023-07-28,80.5768
2023-07-29,81.26748
2023-07-30,55.251729
2023-07-31,52.885872
2023-08-01,64.3275
2023-08-02,77.900256
2023-08-03,39.5048
2023-08-04,73.79658
2023-08-05,80.83684
2023-08-06,88.21516
2023-08-07,82.507425
2023-08-08,70.759078
2023-08-09,74.76048
2023-08-10,81.776
2023-08-11,94.1324
2023-08-12,75.912648
2023-08-13,80.97507
2023-08-14,85.9221
2023-08-15,80.052525
2023-08-16,91.486332
2023-08-17,93.728609
2023-08-18,77.60298
2023-08-19,49.65226
2023-08-20,90.4922
2023-08-21,81.630794
2023-08-22,78.491504
2023-08-23,105.0051
2023-08-24,98.37189
2023-08-25,81.70932
2023-08-26,93.3585
2023-08-27,90.111
2023-08-28,85.536794
2023-08-29,89.06971
2023-08-30,84.8727
2023-08-31,81.681
2023-09-01,87.78752
2023-09-02,89.595612
2023-09-03,98.4515
2023-09-04,87.83586
2023-09-05,80.182727
2023-09-06,75.518352
2023-09-07,78.999224
2023-09-08,77.964289
2023-09-09,87.998457
2023-09-10,92.44968
2023-09-11,87.488128
2023-09-12,83.502549
2023-09-13,88.179696
2023-09-14,79.2396
2023-09-15,89.565366
2023-09-16,84.996736
2023-09-17,100.521153
2023-09-18,111.0303
2023-09-19,29.656272
2023-09-20,-1.7272
2023-09-21,81.899832
2023-09-22,85.604129
2023-09-23,103.7499
2023-09-24,78.58643
2023-09-25,-0.008698
2023-09-26,53.141256
2023-09-27,101.948875
2023-09-28,-2.6088
2023-09-29,70.483176
2023-09-30,112.01259
2023-10-01,68.976448
2023-10-02,90.215936
2023-10-03,84.966
2023-10-04,39.132576
2023-10-05,68.71392
2023-10-06,47.663
2023-10-07,47.553
2023-10-08,80.598012
2023-10-09,86.46
2023-10-10,99.0196
2023-10-11,84.938304
2023-10-12,99.314
2023-10-13,132.4609
2023-10-14,59.75943
2023-10-15,130.744632
2023-10-16,112.9347
2023-10-17,112.328892
2023-10-18,23.00292
2023-10-19,102.039546
2023-10-20,96.19988
2023-10-21,50.00215
2023-10-22,95.92323
2023-10-23,97.552
2023-10-24,100.211
2023-10-25,111.487725
2023-10-26,103.72836
2023-10-27,101.573532
2023-10-28,86.17392
2023-10-29,126.3675
2023-10-30,97.285545
2023-10-31,105.464436
2023-11-01,93.834635
2023-11-02,86.93
2023-11-03,75.471726
2023-11-04,113.334
2023-11-05,111.8043
2023-11-06,93.334923
2023-11-07,77.74884
2023-11-08,65.13
2023-11-09,83.568
2023-11-10,88.90378
2023-11-11,94.999718
2023-11-12,94.636312
2023-11-13,82.8494
2023-11-14,69.94332
2023-11-15,67.938
2023-11-16,122.44575
2023-11-17,91.41464
2023-11-18,94.554
2023-11-19,9.15773
2023-11-20,89.362285
2023-11-21,89.743008
2023-11-22,100.021768
2023-11-23,44.37
2023-11-24,89.8366
2023-11-25,114.925624
2023-11-26,110.140086
2023-11-27,103.900623
2023-11-28,98.960151
2023-11-29,98.895
2023-11-30,88.04169
2023-12-01,94.198213
2023-12-02,98.266119
2023-12-03,101.8878
2023-12-04,83.9076
2023-12-05,84.14651
2023-12-06,81.31445
2023-12-07,85.87686
2023-12-08,72.0132
2023-12-09,83.9124
2023-12-10,55.82498
2023-12-11,70.38541
2023-12-12,82.226688
2023-12-13,74.226378
2023-12-14,68.872
2023-12-15,85.840632
2023-12-16,56.83278
2023-12-17,13.498032
2023-12-18,77.328
2023-12-19,84.02384
2023-12-20,29.764875
2023-12-21,7.7886
2023-12-22,-0.008669
2023-12-23,0.0
2023-12-24,-5.387776
2023-12-25,7.8336
2023-12-26,7.868416
2023-12-27,8.704
2023-12-28,0.0
2023-12-29,0.0
2023-12-30,173.2857
2023-12-31,38.1744
2024-01-01,45.965448
2024-01-02,24.631164
2024-01-03,70.20936
2024-01-04,71.29778
2024-01-05,83.286084
2024-01-06,87.267375
2024-01-07,100.307335
2024-01-08,100.341731
2024-01-09,74.493965
2024-01-10,70.4872
2024-01-11,74.286936
2024-01-12,81.701796
2024-01-13,93.941014
2024-01-14,92.488392
2024-01-15,71.942094
2024-01-16,89.0014
2024-01-17,85.0174
2024-01-18,74.500722
2024-01-19,88.09423
2024-01-20,12.861
2024-01-21,53.94933
2024-01-22,17.06823
2024-01-23,81.051776
2024-01-24,6.613788
2024-01-25,67.506173
2024-01-26,39.70912
2024-01-27,52.710696
2024-01-28,41.61415
2024-01-29,76.7341
2024-01-30,89.5125
2024-01-31,61.29837
2024-02-01,67.867972
2024-02-02,46.9425
2024-02-03,46.9535
2024-02-04,20.245472
2024-02-05,11.00112
2024-02-06,19.1925
2024-02-07,86.123185
